CloseBTC,CloseETH
7758,144.15
8145.28,142.8
8055.98,140.72
7817.76,137.74
8197.02,144.84
8020.01,142.38
8184.98,146.54
8110.34,143.58
8810.01,165.64
8821.41,166.4
8720.01,164.21
8913.28,169.85
8915.96,174.14
8701.7,166.79
8642.35,166.87
8736.03,169.49
8682.36,168.07
8404.52,162.81
8439,162.54
8340.58,160.35
8615,167.86
8907.57,170.08
9374.21,175.64
9301.53,173.72
9513.21,184.69
9352.89,179.99
9384.61,183.6
9331.51,188.44
9292.24,189.69
9197.02,188.91
9612.04,203.78
9772,213.19
9813.73,223.33
9895.05,223.05
10151.75,228.49
9851.83,222.89
10223.08,236.69
10326.46,265.74
10229.63,268.32
10344.36,285.15
9904.72,264.88
9917.27,258.85
9706,267.85
10164.71,282.61
9593.79,258.45
9596.42,256.96
9677.05,265.27
9650.86,261.57
9936.4,274.48
9656.13,265.52
9315.84,246.67
8785.25,223.93
8823.21,227.79
8692.91,226.76
8523.61,217.21
8531.88,217.81
8915.24,231.97
8760.07,223.91
8750.87,224.26
9054.68,228.38
9131.88,244.88
8886.66,237.23
8033.31,199.43
7929.87,202.81
7894.56,200.7
7934.52,194.61
4800,107.82
5578.6,134.06
5172.06,122.54
5361.3,123.78
5028.97,111.02
5312.64,115.67
5393.04,118.11
6162.37,136.3
6208.36,133.48
6186.98,132.66
5816.19,122.32
6467.31,135.92
6744.72,138.42
6677.43,136.1
6737.36,138.4
6359.11,131.33
6236.65,130.98
5881.42,124.5
6394.38,132.06
6410.44,132.72
6642.92,135.69
6794.09,141.28
6734.1,141.31
6856.99,144.1
6772.78,142.68
7329.9,171.32
7197.32,164.63
7361.28,173.11
7283.54,169.52
6858.92,157.81
6876.83,158.33
6903.79,158.59
6837.91,156.29
6868.7,158.45
6621.24,152.73
7101.94,172.29
7027.55,170.69
7248.6,187.4
7120.74,180.03
6826.83,170.2
6841.37,170.74
7125.14,182.7
7482.39,185.51
7505,187.59
7538.67,194.21
7693.1,197.38
7774.62,196.34
7738.98,196.24
8778.57,215.36
8620,206.08
8826.96,212.02
8972.05,213.9
8894.16,209.86
8871.96,206.48
9021.83,205.29
9142.92,198.97
9986.4,212
9800.01,211.31
9539.4,210.07
8722.77,187.54
8561.52,185.73
8810.79,189.76
9309.37,199.58
9791.98,203.29
9316.42,194.86
9381.27,200.45
9680.04,207
9733.93,214.91
9775.53,214.58
9511.43,209.98
9068.65,198.74
9170,207.36
9179.15,206.6
8720.34,199.9
8900.35,204.15
8841.18,200.89
9204.07,208.29
9575.89,220.21
9427.07,220.67
9697.72,243.66
9448.27,231.57
10200.77,248.23
9518.04,237.71
9666.24,244.52
9789.06,243.21
9621.16,240.03
9666.3,241.94
9746.99,244.56
9782.01,246.4
9772.43,243.8
9885,247.78
9280.4,230.51
9465.13,237.55
9473.34,238.11
9342.1,231.77
9426.02,230.86
9525.59,235.3
9465.14,233.82
9386.32,231.27
9310.23,229
9358.95,228.89
9294.69,228.04
9685.69,243.13
9624.89,243.14
9296.49,234.58
9249.49,232.5
9162.21,229.64
9012,220.94
9116.35,224.93
9192.56,227.93
9138.55,225.6
9232,230.99
9086.54,226.46
9058.26,224.87
9135.46,229.17
9069.41,227.56
9344.2,241.6
9257.39,239.39
9436.06,246.95
9232.43,241.98
9288.34,241.26
9234.03,239.19
9302.75,242.79
9242.62,239.5
9255.85,240.44
9197.6,238.61
9133.72,233.57
9154.32,232.67
9170.28,235.67
9208.99,239.11
9160.78,236.01
9390,245.59
9518.16,263.74
9603.27,275.3
9537.8,279.15
9700.42,305.26
9931.54,311
11029.96,321.93
10906.27,316.77
11100.53,317.71
11099.61,334.87
11335.46,346.33
11801.17,387
11071.35,372.42
11219.81,385.94
11191.97,389.61
11744.91,400.72
11762.46,394.77
11594.23,379.34
11761.41,397.03
11681.68,390.14
11892.92,395.44
11392.08,379
11564.33,387.18
11780,424.54
11760.54,438.11
11852.4,432.32
11911,433.62
12281.13,430.89
11945.01,421.95
11754.59,407.46
11853.55,415.94
11531.34,387.97
11662.96,395.24
11648.13,390.71
11748.2,407.68
11318.42,382.93
11461.43,385.81
11330.38,383.27
11526.91,395.11
11465.84,398.65
11711.16,428.94
11649.51,433.79
11921.97,475.4
11388.54,439.5
10140.85,381.4
10446.25,385.26
10166.69,335.01
10256.2,352.8
10373.44,353.59
10126.65,337.39
10219.2,350.85
10336.87,367.93
10387.89,373.63
10440.92,387.78
10332.83,366.42
10671.77,377.12
10785.31,364.06
10954.01,365.11
10939.99,389.36
10933.39,384.39
11080.65,385.25
10920.28,371.04
10417.22,340.36
10529.61,344.21
10241.46,320.72
10736.32,348.97
